999248624,AFRS-323-51,PHIL-394-51,MUSI-216-51,FILM-337-51,MUSI-106-52,FILM-288-51,HISP-106-51
999248625,SOCI-255-51,AFRS-107-51,DRAM-392-51,PHYS-114-53,PHIL-395-51,CHEM-245-96,COGS-320-51
999248626,MATH-321-51,PHED-142-51,HIST-326-51,ENST-360-51,ART-103-53,ART-382-51,ENST-238-51
999248627,URBS-200-51,MUSI-151-51,PHIL-320-51,DANC-160-51,JWST-371-51,ANTH-365-51,ASIA-314-51
999248628,DANC-396-51,POLI-358-51,ESCI-265-51,PHED-190-52,ASIA-347-51,AFRS-248-51,EDUC-235-51
999248629,BIOL-355-51,AMST-366-51,STS-301-53,ENGL-228-51,WFQS-130-52,ITAL-237-51,MUSI-159-51
999248630,PSYC-341-51,ART-314-51,ASIA-365-51,PSYC-331-51,PSYC-105-54,DRAM-390-56,PHED-142-51
999248631,ENGL-380-51,MUSI-106-52,FFS-210-51,ART-382-51,HIST-168-51,JAPA-351-51,HIST-243-51
999248632,INTL-238-51,LALS-105-51,SOCI-347-51,GRST-100-51,ART-331-51,WFQS-372-51,STS-301-52
999248633,ECON-301-51,PSYC-201-52,GEOG-300-51,PHED-105-51,ESCI-151-51,ENST-182-51,ANTH-120-52
999248634,ANTH-360-51,ART-106-53,MUSI-149-51,SOCI-365-51,POLI-386-51,PSYC-105-52,ENGL-329-51
999248635,BIOL-107-54,FILM-319-51,STS-301-53,ENST-182-51,AMST-366-51,MATH-324-51,CHEM-245-96
999248636,FFS-232-51,FILM-324-51,JWST-371-51,AMST-160-51,FFS-380-51,INTL-102-51,ANTH-360-51
999248637,GRST-125-51,HISP-388-51,GERM-106-52,MUSI-209-51,GERM-283-51,ASIA-106-51,CHEM-245-81
999248638,FILM-221-51,MATH-241-52,ART-205-51,PHYS-112-53,CHEM-352-51,DRAM-210-51,ESCI-265-51
999248639,CHEM-373-51,DANC-367-51,CMPU-334-51,ANTH-202-51,GERM-182-51,ECON-267-52,FILM-175-51
999248640,AMST-160-51,FFS-281-51,PHYS-375-51,ECON-346-51,AFRS-272-51,ECON-389-51,ENGL-101-51
999248641,FILM-217-51,HIST-301-51,PSYC-253-51,ENST-270-51,MATH-361-51,AMST-313-51,CHEM-352-51
999248642,CHIN-106-51,MATH-361-51,CHIN-351-51,BIOL-107-55,PHED-126-52,AFRS-323-51,COGS-319-51
999248643,AFRS-323-51,POLI-386-51,JWST-242-51,EDUC-375-51,CHIN-106-51,ENGL-375-51,DRAM-392-51
999248644,GNCS-329-51,MATH-301-56,BIOL-217-51,PSYC-331-51,RUSS-154-51,JWST-110-51,COGS-219-51
999248645,DANC-194-51,STS-301-51,EDUC-235-52,CHIN-306-51,RUSS-152-51,ESCI-351-51,URBS-387-51
999248646,BIOL-381-51,PSYC-200-51,AFRS-107-51,COGS-320-51,RELI-249-51,PHYS-112-54,MATH-220-51
999248647,JWST-371-51,INTL-386-51,PHYS-114-51,STS-307-51,AMST-329-51,JAPA-206-52,FFS-396-51
999248648,ECON-389-51,ANTH-202-51,STS-106-51,CHIN-208-51,MUSI-139-51,BIOL-108-51,ASIA-314-51
999248649,DRAM-232-51,ESCI-351-51,ECON-367-51,CLCS-151-51,FILM-260-51,MUSI-320-51,CHEM-245-81
999248650,DANC-364-51,HEBR-106-51,STS-301-53,DANC-397-51,ENGL-345-51,HISP-388-51,DRAM-390-56
999248651,HIST-255-51,RELI-386-51,WFQS-375-51,URBS-272-51,POLI-363-51,ART-203-51,INTL-381-51
999248652,JAPA-206-51,AMST-313-51,AFRS-168-51,MATH-301-56,ART-106-57,PHED-190-52,FFS-396-51
999248653,GNCS-232-51,MUSI-159-51,ECON-201-52,RELI-386-51,MUSI-155-51,PSYC-200-53,FFS-106-52
999248654,AMST-102-51,ENST-381-51,ENGL-375-51,RELI-150-51,MATH-221-53,PSYC-259-51,ANTH-201-51
999248655,EDUC-361-51,ENGL-329-51,BIOC-326-51,FFS-232-51,BIOL-108-53,HIST-302-51,PSYC-105-51
999248656,BIOL-387-51,GRST-381-51,PSYC-105-52,COGS-319-51,DANC-166-51,ECON-301-51,INTL-102-51
999248657,HIST-257-51,SOCI-347-51,CHIN-351-51,PHIL-340-51,ECON-238-52,GNCS-351-51,CMPU-145-51
999248658,RELI-249-51,CHIN-206-51,RELI-355-51,MUSI-247-51,INTL-249-51,STS-255-51,BIOL-238-51
999248659,ART-366-51,DANC-365-51,FILM-209-51,BIOL-393-51,FILM-336-51,RELI-281-51,MUSI-151-51
999248660,HISP-206-51,FILM-336-51,ITAL-206-51,PSYC-353-51,BIOL-226-51,HIST-221-51,EDUC-361-51
999248661,AMST-360-51,ASIA-365-51,ART-331-51,ASIA-275-51,ART-160-51,FILM-336-51,URBS-387-51
999248662,POLI-386-51,ENST-107-51,GNCS-355-51,DANC-195-51,STS-301-51,PHIL-394-51,CHEM-245-81
999248663,HIST-257-51,DANC-174-51,CMPU-203-51,POLI-385-51,PSYC-105-51,ENST-360-51,ECON-320-52
999248664,POLI-384-51,EDUC-250-51,EDUC-392-51,ECON-367-51,ASIA-102-51,PHED-125-52,GERM-374-51
999248665,ASIA-355-51,CHEM-245-81,HEBR-106-51,EDUC-361-51,GEOG-102-51,POLI-140-51,STS-221-51
999248666,ART-108-51,INTL-381-51,INTL-274-51,DRAM-310-51,ECON-238-52,DANC-365-51,RUSS-332-51
999248667,GEOG-282-51,ASIA-106-51,GEOG-340-51,WFQS-130-53,MEDS-322-51,LALS-353-51,ART-106-54
999248668,RELI-330-51,RELI-355-51,PSYC-341-51,ART-274-51,CLCS-107-51,ANTH-150-51,STS-278-51
999248669,HIST-326-51,HIST-301-53,FILM-288-51,LALS-214-51,STS-301-51,ART-382-51,BIOL-107-52
999248670,GRST-202-51,MATH-127-51,WFQS-375-51,FILM-392-51,AFRS-308-51,MUSI-159-51,ITAL-106-52
999248671,RUSS-168-51,HIST-302-51,ENGL-275-51,CHEM-245-81,MRST-221-51,HISP-353-51,GRST-100-51
999248672,CLCS-184-51,PHYS-112-53,ASIA-314-51,CMPU-145-51,AMST-366-51,FILM-288-51,GNCS-351-51
999248673,PHYS-114-51,GEOG-303-51,BIOL-107-54,GEOG-274-51,HIST-255-51,DANC-364-51,AMST-360-51
999248674,ASIA-370-51,MUSI-216-51,ENGL-205-54,PHYS-112-51,NEUR-241-51,BIOL-238-51,PHED-151-51
999248675,RELI-355-51,ASTR-230-51,DRAM-208-51,BIOL-107-55,MUSI-159-51,GRST-202-52,AFRS-186-51
999248676,MUSI-101-51,ENST-153-51,DRAM-103-51,ENGL-375-51,PHYS-114-53,ENST-352-51,GEOG-288-51
999248677,ECON-301-51,BIOL-393-51,PHYS-112-52,BIOL-108-54,PHIL-234-51,PSYC-353-51,DRAM-392-51
999248678,FFS-394-52,RELI-355-51,POLI-372-51,INTL-360-51,AMST-251-51,ANTH-120-51,FFS-281-51
999248679,PHIL-330-51,INTL-386-51,EDUC-250-51,AMST-313-51,HIST-302-51,JAPA-306-51,MATH-242-51
999248680,DRAM-204-51,ECON-301-51,ART-303-51,CHEM-125-92,PHIL-240-51,PSYC-375-51,ANTH-140-51
999248681,FFS-396-51,RUSS-371-51,MEDS-371-51,MUSI-106-51,PHYS-203-51,ECON-307-51,ENGL-205-55
999248682,RUSS-332-51,CHIN-106-51,MUSI-159-51,FILM-209-51,INTL-360-51,ASIA-222-51,ANTH-260-51
999248683,PHYS-210-51,HIST-386-51,POLI-372-51,ART-382-51,CHEM-352-51,FFS-394-51,PHIL-391-51
999248684,ART-213-51,MATH-301-55,MATH-261-51,STS-255-51,MATH-301-54,ANTH-322-51,CMPU-101-52
999248685,GNCS-355-51,GRST-184-51,JAPA-351-51,FFS-396-51,HIST-314-51,HIST-276-51,CMPU-334-51
999248686,PHED-142-51,GRST-328-51,RUSS-332-51,AFRS-168-51,BIOL-108-53,ANTH-140-51,STS-301-51
999248687,STS-355-51,ENST-360-51,WFQS-366-51,NEUR-105-51,JWST-150-51,ASIA-370-51,ANTH-201-51
999248688,LALS-353-51,DRAM-392-51,INTL-360-51,AFRS-186-51,RUSS-371-51,ECON-307-51,ECON-267-51
999248689,COGS-312-51,MATH-301-51,COGS-320-51,DRAM-304-51,GNCS-249-51,WFQS-366-51,ASIA-358-51
